"filename", "language", "Python", "YAML", "HTML", "XML", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\nl.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\pl.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ps.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\pt-BR.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\pt.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ro.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\ru.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\sk.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\sl.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\sq.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\sr-Cyrl.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\sr.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\sv.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\th.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\tk.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\tr.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\uk.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\vi.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\zh-CN.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\i18n\zh-TW.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\select2.full.js", "JavaScript", 0, 0, 0, 0, -5102, 0, 0, -384, -1335, -6821
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\select2\select2.full.min.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1, 0, -2
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\xregexp\xregexp.js", "JavaScript", 0, 0, 0, 0, -3138, 0, 0, -1271, -244, -4653
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\js\vendor\xregexp\xregexp.min.js", "JavaScript", 0, 0, 0, 0, -129, 0, 0, -31, -1, -161
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\index.html", "HTML", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"Total", "-", 94, 30, -1, -126, -17430, -34, -4050, -4011, -4870, -30398
